Entity,Day,Training dataset size,Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,2000000,Language
3DMM-CNN,2016-12-15,500000,Vision
4 layer QRNN (h=2500),2018-03-22,103000000,Language
6-Act Tether,2021-08-03,125000000,Robotics
A3C FF hs,2016-02-04,200000000,Games
ADM,2021-05-11,130191200000000,Image generation
AFM-on-device,2024-07-29,7588000000000,Language
AFM-server,2024-07-29,7400000000000,Language
ALBERT,2019-09-26,3300000000,Language
ALBERT-xxlarge,2020-02-09,3300000000,Language
ALIGN,2021-06-11,1800000000,Multiple domains
ALLaM adapted 70B,2024-05-21,600000000000,Language
ALM 1.0,2022-11-28,22696572400,Language
AWD-LSTM,2017-07-18,2000000,Language
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,2000000,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,2000000,Language
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,2000000,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,2000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,2000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,2000000,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,2000000,Language
Adaptive Input Transformer + RD,2021-06-28,103000000,Language
Adaptive Inputs + LayerDrop,2019-09-25,103000000,Language
Advantage Learning,2015-12-15,100000000,Games
AgentFounder-30B,2025-09-16,315000000000,Language
Agile Soccer Robot,2023-04-26,3140000000,Robotics
AlexaTM 20B,2022-08-02,1319000000000,Language
AlphaCode,2022-02-02,967000000000,Language
AlphaFold,2020-01-15,6622252080,Biology
AlphaFold 2,2020-11-30,5724000000,Biology
AlphaFold 3,2024-05-08,29491200000,Biology
AlphaFold-Multimer,2021-10-04,56573952,Biology
AlphaGo Lee,2016-01-27,300000000,Games
AlphaGo Zero,2017-10-18,6348800000,Games
AlphaMissense,2023-09-22,2304000000,Biology
AlphaX-1,2019-10-02,61280000,Vision
AlphaZero,2017-12-05,3520000000,Games
Amazon Titan,2023-09-28,4000000000000,Multiple domains
Ankh_large,2023-01-16,14000000000,Biology
Aramco Metabrain AI,2024-03-04,7000000000000,Language
AudioGen,2023-03-05,230400000000,Other
AudioLM,2023-07-26,135000000000,Other
Aya,2024-02-12,1144220000000,Language
BART-large,2019-10-29,42666666666,Language
BASIC-L,2021-11-19,8905031712000,Vision
BERT-Large,2018-10-11,2649900000,Language
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,1300000000,Language
BIDAF,2016-11-05,879000,Language
BLIP-2 (Q-Former),2023-01-30,2322000000,Multiple domains
BLOOM-176B,2022-07-11,379000000000,Language
BLUUMI,2023-11-03,38000000000,Language
Base LM + kNN LM + Continuous Cache,2019-11-01,103000000,Language
Big Transfer (BiT-L),2019-12-24,300000000,Vision
Big Transformer for Back-Translation,2018-08-28,4520000000,Language
Big-Little Net,2018-07-10,1280000,Vision
Big-Little Net (speech),2018-07-10,720000000,Speech
BigBiGAN,2019-07-04,2560000,Multiple domains
BigSSL,2021-01-10,100530000000,Speech
BlenderBot 3,2022-08-10,1300000000,Language
BloombergGPT,2023-03-30,569000000000,Language
ByT5-XXL,2021-05-28,1048576000000,Language
CCL,2016-06-27,20000,Vision
CLIP (ResNet-50),2021-01-05,400000000,Multiple domains
CLIP (ViT L/14@336px),2021-01-05,400000000,Multiple domains
CODEFUSION (Python),2023-10-26,4390400,Language
CPM-Large,2020-12-01,16700000000,Language
CT-MoS (WT2),2020-12-25,2000000,Language
CaLM,2022-12-19,2523746560,Biology
CamemBERT,2019-11-10,28615771779,Language
Char-CNN-BiLSTM,2019-06-13,929000,Language
ChatGLM3-6B,2023-10-27,1400000000000,Multiple domains
Chinchilla,2022-03-29,1400000000000,Language
CoAtNet,2021-06-09,88779000000000,Vision
CoCa,2022-06-14,1351680000000,Vision
CoEdiT-xxl,2023-05-17,1093333,Language
CodeT5+,2023-05-20,51500000000,Language
CodeT5-large,2022-07-05,10500000000,Language
Codex,2021-07-07,52788000000,Language
CogVideo,2022-05-29,145000000000,Other
CogView,2021-05-26,964800000000,Image generation
ContextNet,2020-05-07,349200000,Speech
Contriever,2021-12-16,262144000000,Language
ConvS2S (ensemble of 8 models),2017-07-25,1183333333,Language
DAC-CSR,2016-11-16,20000,Vision
DALL-E,2021-01-05,320000000000,Image generation
DALL·E 2,2022-04-06,167050000000,Image generation
DBRX,2024-03-27,12000000000000,Language
DCN+,2017-10-31,215570,Language
DD-PPO,2019-12-19,2500000000,Robotics
DDPM-IP (CelebA),2023-01-27,831488000,Image generation
DETR,2020-05-26,826000,Vision
DINOv2,2023-04-14,36380002816,Vision
DITTO,2022-06-06,103000000,Language
DL scaling LM,2017-12-01,400000000,Language
DL scaling speech,2017-12-01,2149200000,Speech
DLDL (PASCAL),2016-11-06,22531,Vision
DLRM-2020,2019-05-31,38571428,Other
DNABERT,2021-08-15,1444128539,Biology
DTN (Domain Transfer Network),2016-11-07,2000000,Multiple domains
DeBERTa,2021-06-10,20800000000,Language
DeLighT,2020-08-03,103000000,Language
DeepLab (2017),2017-04-27,26455000,Vision
DeepLabV3,2017-06-17,8354563074,Vision
DeepLabV3+,2018-02-07,8655843074,Vision
DeepNash,2022-12-01,2109703680000,Games
DeepNet,2022-03-01,272629760000,Language
DeepSeek-Coder-V2 236B,2024-06-17,3191000000000,Language
DeepSeek-R1,2025-01-20,14800000000000,Language
DeepSeek-R1 (May 2025),2025-05-28,14800000000000,Language
DeepSeek-V3,2024-12-24,14800000000000,Language
DeepSeek-V3 (Mar 2025),2025-03-24,14800000000000,Language
DeepStack,2017-01-06,25380000000,Games
DeiT-B,2021-01-15,3840000,Vision
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,596320321536,Vision
DensePhrases,2020-12-23,58000000,Language
DiT-XL/2 + Discriminator Guidance,2022-11-28,327978752,Image generation
DiffDock,2022-10-04,4352000,Biology
Discriminator Guidance,2022-11-28,327978752,Image generation
DistilBERT,2019-10-02,495000000,Language
DnCNN,2017-02-01,2560000000,Multiple domains
Doubao-1.5-pro,2025-01-22,9000000000000,Language
Doubao-pro,2024-10-28,8350000000000,Language
DreamerV3,2023-01-10,1600000000,Games
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,2000000,Language
EI-REHN-1000D,2017-08-14,929000,Language
ELECTRA,2020-03-23,33000000000,Language
ELMo,2018-02-01,2000000000,Language
EMDR,2021-06-09,171600000000,Language
ERNIE 3.0,2021-07-05,375000000000,Language
ERNIE 3.0 Titan,2021-12-23,668000000000,Language
ERNIE-Doc (247M),2020-12-31,103000000,Language
ERNIE-GEN (large),2020-08-06,114666666666,Language
ESM1b,2020-12-15,27750400000,Biology
ESM2-15B,2022-07-21,15360000000,Biology
ESM3 (98B),2024-06-25,771000000000,Biology
EVA-01,2022-11-14,7577600000,Vision
EXAONE 3.5 32B,2024-12-09,6500000000000,Language
EXAONE 4.0 (32B),2025-07-15,14000000000000,Language
EXAONE Deep 32B,2025-03-16,12000000000,Language
EXAONE Path 2.0,2025-07-09,144450,Multiple domains
EfficientNet-L2,2019-05-28,1280000,Vision
EfficientZero,2021-10-30,100000,Games
EnhanceNet,2016-12-23,9830400000,Vision
Eurus-2-7B-PRIME,2025-02-03,830000,Other
Eve,2021-10-27,24167054120,Biology
FFN SwiGLU,2020-02-14,50600083456,Language
FLAN 137B,2021-09-03,2490000000000,Language
FTW (For The Win),2018-07-03,2000000000,Games
Falcon-180B,2023-09-06,3500000000000,Language
Falcon-40B,2023-03-15,1000000000000,Language
Feedback Transformer,2020-02-21,103000000,Language
Ferret (13B),2023-10-11,172649572,Multiple domains
FinGPT-13B,2023-10-07,76800,Language
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,1044112,Language
FixRes ResNeXt-101 WSL,2019-06-14,940000000,Vision
Flamingo,2022-04-29,458333333333,Multiple domains
Flan-PaLM 540B,2022-10-20,1400000000,Language
Florence,2021-11-22,7500000000,Vision
Fold2Seq,2021-06-24,45995,Biology
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,2000000,Language
Fusion in Encoder,2022-11-18,960000,Language
GAWWN,2016-10-08,235760,Vision
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,2000000,Language
GLM-130B,2022-08-04,152000000000,Language
GLM-4 (0520),2024-05-20,10000000000000,Language
GLM-4.5,2025-08-05,23100000000000,Language
GLM-4.6,2025-09-30,23000000000000,Language
GLaM,2021-12-13,600000000000,Language
GNMT,2016-09-26,720000000,Language
GNoME for crystal discovery,2023-11-29,69000,Other
GOAT,2021-07-27,798720000000000,Games
GPT-1,2018-06-01,1333333333,Language
GPT-2 (1.5B),2019-02-14,10666666666,Language
GPT-2 Medium (FlashAttention),2022-05-27,10130000000,Language
GPT-3 175B (davinci),2020-05-28,238000000000,Language
GPT-4 (Jun 2023),2023-03-15,5416666666666,Multiple domains
GPT-4 (Mar 2023),2023-03-15,5416666666666,Multiple domains
GPT-NeoX-20B,2022-02-09,341173367965,Language
GPipe (Transformer),2018-11-16,1450000000000,Language
GSM,2017-07-30,215570,Language
GShard (dense),2020-06-30,346666666667,Language
Galactica,2022-11-16,106000000000,Multiple domains
Gated HORNN (3rd order),2016-04-30,22400000,Language
Gato,2022-05-12,524288000000,Multiple domains
GenSLM,2022-10-11,225280000000,Biology
Generative BST,2021-03-05,56800000000,Language
German ELECTRA Large,2020-10-21,36383733333,Language
Go-explore,2020-04-27,40000000000,Games
Goat-7B,2023-05-23,43700000,Language
Gopher (280B),2021-12-08,300000000000,Language
Grok-1,2023-11-04,6200000000000,Language
HR-ResNet101,2016-12-13,8243968,Vision
HRA,2017-06-13,150000000,Games
Hanabi 4 player,2019-02-01,20000000000,Games
HuBERT,2021-07-27,864000000,Speech
Hunyuan-Large,2024-11-06,7000000000000,Language
Hunyuan-TurboS,2025-03-11,16000000000000,Language
Hybrid H3-2.7B,2022-12-28,400000000000,Language
HyenaDNA,2023-06-27,2945000000,Biology
HyperCLOVA 204B,2021-09-10,560000000000,Language
IMPALA,2018-02-05,11400000000,Games
ISS,2017-09-15,929000,Language
Image-to-image cGAN,2016-11-21,2400000,Multiple domains
Inception v3,2015-12-02,1200000,Vision
Inception-ResNet-V2,2016-02-23,1280000,Vision
Inceptionv4,2016-02-23,1280000,Vision
Incoder-6.7B,2023-04-09,52000000000,Language
Inflated 3D ConvNet,2017-06-01,240000,Other
InstructGPT 175B,2022-01-27,16969897,Language
InternImage,2022-11-10,83692000000,Vision
InternLM,2023-07-06,1600000000000,Language
JFT,2017-07-10,5487300000000,Vision
Jais,2023-08-29,395000000000,Language
Jurassic-1-Jumbo,2021-08-11,300000000000,Language
K-EXAONE,2025-12-31,11000000000000,Language
KEPLER,2020-11-23,3533640000,Language
KataGo,2019-02-27,241000000,Games
Kimi K2,2025-07-11,15500000000000,Language
LDM-1.45B,2021-12-20,291985200000,Image generation
LEP-AD,2023-03-15,1244420,Biology
LF-MMI,2016-09-08,720000,Speech
LLaMA-65B,2023-02-24,1400000000000,Language
LLaVA-OV-72B,2024-08-06,38314782000,Multiple domains
LMSI-Palm,2022-10-20,1920000,Language
LRR-4X,2016-05-08,152231040,Vision
LSTM + dynamic eval,2017-09-21,90000000,Language
LSTM+NeuralCache,2018-09-24,2000000,Language
LUKE,2020-10-02,4666666667,Language
LaMDA,2022-02-10,2080000000000,Language
LaNet-L (CIFAR-10),2019-06-17,60000,Vision
Ling-1T,2025-10-10,20000000000000,Language
Llama 2-70B,2023-07-18,2000000000000,Language
Llama 2-7B,2023-07-18,2000000000000,Language
Llama 3-70B,2024-04-18,15000000000000,Language
Llama 3.1-405B,2024-07-23,15600000000000,Language
Llama 3.3 70B,2024-12-06,15000000000000,Language
Llama 4 Behemoth (preview),2025-04-05,30000000000000,Multiple domains
Llama 4 Maverick,2025-04-05,30000000000000,Multiple domains
Llama 4 Scout,2025-04-05,30000000000000,Multiple domains
Llama Guard,2023-12-07,4096000,Language
LongCat-Flash,2025-09-01,23000000000000,Language
LongT5,2021-12-15,524288000000,Language
M6-T,2021-03-05,111800000000,Multiple domains
MEB,2021-09-04,500000000000,Multiple domains
MMLSTM (PTB),2019-12-05,929000,Language
MMLSTM (WT-2),2019-12-05,2000000,Language
MS-ensemble-speech-recognition,2016-09-12,11140000000,Speech
MSA Transformer,2021-02-13,1395000000000,Biology
MT-DNN,2019-01-31,1000000,Language
