Entity,Day,Number of parameters,Researcher affiliation
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,185000000,Academia and industry collaboration
3DMM-CNN,2016-12-15,44500000,Academia
4 layer QRNN (h=2500),2018-03-22,151000000,Industry
6-Act Tether,2021-08-03,5000000,Academia and industry collaboration
A.X K1,2025-12-30,519000000000,Industry
ADM,2021-05-11,559000000,Industry
AFM-on-device,2024-07-29,2730000000,Industry
ALBERT,2019-09-26,18000000,Academia and industry collaboration
ALBERT-xxlarge,2020-02-09,235000000,Academia and industry collaboration
ALIGN,2021-06-11,820000000,Industry
ALLaM adapted 70B,2024-05-21,70000000000,Other
ALM 1.0,2022-11-28,335000000,Academia
AR-LDM,2022-11-20,1500000000,Academia and industry collaboration
AWD-LSTM,2017-07-18,24000000,Academia and industry collaboration
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,35000000,Academia
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,33000000,Industry
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,53000000,Industry
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,34000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,35000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,35000000,Academia and industry collaboration
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,35000000,Industry
AbLang (heavy sequences),2022-01-22,355000000,Academia
Adaptive Input Transformer + RD,2021-06-28,247000000,Academia and industry collaboration
Adaptive Inputs + LayerDrop,2019-09-25,423000000,Academia and industry collaboration
AgentFounder-30B,2025-09-16,30000000000,Industry
AlexaTM 20B,2022-08-02,19750000000,Industry
AlphaCode,2022-02-02,41100000000,Industry
AlphaFold,2020-01-15,16340840,Industry
AlphaFold 2,2020-11-30,93000000,Industry
AlphaGeometry,2024-01-17,151000000,Academia and industry collaboration
AlphaGo Zero,2017-10-18,46400244,Industry
AlphaMissense,2023-09-22,93000000,Industry
AlphaStar,2019-10-30,139000000,Industry
AlphaX-1,2019-10-02,5400000,Academia and industry collaboration
Amazon Titan,2023-09-28,200000000000,Industry
Ankh_large,2023-01-16,1900000000,Academia
Apollo 7B,2024-12-13,7000000000,Academia and industry collaboration
Aramco Metabrain AI,2024-03-04,250000000000,Other
AudioGen,2023-03-05,1000000000,Academia and industry collaboration
AudioLM,2023-07-26,1500000000,Industry
Aya,2024-02-12,13000000000,Academia and industry collaboration
BART-large,2019-10-29,406291456,Industry
BASIC-L,2021-11-19,3070000000,Industry
BASIC-L + Lion,2023-02-13,3070000000,Academia and industry collaboration
BEIT-3,2022-08-22,1900000000,Industry
BERT-Large,2018-10-11,340000000,Industry
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,395000000,Industry
BERT-RBP,2022-04-07,110000000,Academia
BIDAF,2016-11-05,2600000,Other
BLIP-2 (Q-Former),2023-01-30,1480000000,Industry
BLOOM-176B,2022-07-11,176247271424,Other
BLUUMI,2023-11-03,176000000000,Academia and industry collaboration
Base LM + kNN LM + Continuous Cache,2019-11-01,247000000,Academia and industry collaboration
Big Transfer (BiT-L),2019-12-24,928000000,Industry
Big-Little Net,2018-07-10,77360000,Industry
Big-Little Net (speech),2018-07-10,3320000,Industry
BigBiGAN,2019-07-04,86000000,Industry
BigSSL,2021-01-10,8000000000,Industry
BlenderBot 3,2022-08-10,175000000000,Academia and industry collaboration
BloombergGPT,2023-03-30,50558868480,Academia and industry collaboration
ByT5-XXL,2021-05-28,12900000000,Industry
CLIP (ResNet-50),2021-01-05,88600000,Industry
CLIP (ViT L/14@336px),2021-01-05,370000000,Industry
CMS-RCNN,2016-06-17,138000000,Industry
CODEFUSION (Python),2023-10-26,75000000,Industry
CPC v2,2019-05-22,303000000,Academia and industry collaboration
CPM-Large,2020-12-01,2600000000,Academia
CT-MoS (WT2),2020-12-25,45000000,Academia and industry collaboration
CURL,2020-04-08,907264,Academia
CaLM,2022-12-19,86000000,Academia
Cambrian-1-34B,2024-06-24,34000000000,Academia
CamemBERT,2019-11-10,335000000,Academia and industry collaboration
ChatGLM3-6B,2023-10-27,6000000000,Industry
Chinchilla,2022-03-29,70000000000,Industry
CoAtNet,2021-06-09,2440000000,Industry
CoCa,2022-06-14,2100000000,Industry
CoEdiT-xxl,2023-05-17,11000000000,Academia and industry collaboration
CoRe,2023-12-29,12400000000,Academia
CodeT5+,2023-05-20,16000000000,Industry
CodeT5-base,2021-11-01,220000000,Academia and industry collaboration
CodeT5-large,2022-07-05,770000000,Industry
Codex,2021-07-07,12000000000,Industry
CogAgent,2023-12-14,18000000000,Academia and industry collaboration
CogVLM-17B,2023-11-06,17000000000,Academia and industry collaboration
CogVideo,2022-05-29,9400000000,Academia
CogView,2021-05-26,4000000000,Academia and industry collaboration
Conformer,2020-05-16,118800000,Industry
Conformer + Wav2vec 2.0 + Noisy Student,2020-10-20,1000000000,Industry
ContextNet,2020-05-07,112700000,Industry
Contriever,2021-12-16,110000000,Academia and industry collaboration
DALL-E,2021-01-05,12000000000,Industry
DALL·E 2,2022-04-06,3500000000,Industry
DBRX,2024-03-27,132000000000,Industry
DDPM-IP (CelebA),2023-01-27,295000000,Academia
DETR,2020-05-26,60000000,Industry
DINOv2,2023-04-14,1140000000,Academia and industry collaboration
DITTO,2022-06-06,750000000,Academia and industry collaboration
DL scaling Image,2017-12-01,121000000,Industry
DL scaling LM,2017-12-01,177000000,Industry
DL scaling speech,2017-12-01,193000000,Industry
DLDL (PASCAL),2016-11-06,564000000,Academia
DLRM-2020,2019-05-31,100000000000,Industry
DLWP,2021-02-09,2676376,Academia and industry collaboration
DNABERT,2021-08-15,110000000,Academia
DPO on Pythia-2.8B,2023-05-29,2800000000,Academia
DeBERTa,2021-06-10,1500000000,Industry
DeBERTaV3large + KEAR,2022-05-04,418000000,Industry
DeLighT,2020-08-03,99000000,Other
DeepNet,2022-03-01,3200000000,Industry
DeepSeek-Coder-V2 236B,2024-06-17,236000000000,Industry
DeepSeek-R1,2025-01-20,671000000000,Industry
DeepSeek-R1 (May 2025),2025-05-28,671000000000,Industry
DeepSeek-V2.5,2024-09-06,236000000000,Industry
DeepSeek-V3,2024-12-24,671000000000,Industry
DeepSeek-V3 (Mar 2025),2025-03-24,671000000000,Industry
DeepSeekMath-V2,2025-11-27,685000000000,Industry
DeepStack,2017-01-06,2500000,Academia
DeiT-B,2021-01-15,86000000,Academia and industry collaboration
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,256000000,Academia
DenseNet-264,2016-08-25,34000000,Academia and industry collaboration
Detic,2022-01-07,88000000,Academia and industry collaboration
DiT-XL/2,2023-03-02,675000000,Academia
DiT-XL/2 + CADS,2023-10-26,675000000,Academia and industry collaboration
DiffDock,2022-10-04,20240000,Academia
Diffusion Renderer,2025-03-22,1100000000,Academia and industry collaboration
DistilBERT,2019-10-02,66000000,Industry
Doubao-pro,2024-10-28,500000000000,Industry
Double DQN,2016-03-02,1500000,Industry
