Entity,Code,Year,All
Argentina,ARG,2016,1
Argentina,ARG,2017,1
Argentina,ARG,2018,7
Argentina,ARG,2019,8
Argentina,ARG,2020,10
Asia,,2015,5386
Asia,,2016,10826
Asia,,2017,20217
Asia,,2018,36303
Asia,,2019,55503
Asia,,2020,79624
Australia,AUS,2015,128
Australia,AUS,2016,241
Australia,AUS,2017,291
Australia,AUS,2018,476
Australia,AUS,2019,568
Australia,AUS,2020,895
Austria,AUT,2015,3
Austria,AUT,2016,10
Austria,AUT,2017,11
Austria,AUT,2018,12
Austria,AUT,2019,6
Austria,AUT,2020,15
Azerbaijan,AZE,2018,1
Belgium,BEL,2016,2
Belgium,BEL,2017,2
Belgium,BEL,2018,8
Belgium,BEL,2019,2
Belgium,BEL,2020,6
Brazil,BRA,2015,58
Brazil,BRA,2016,80
Brazil,BRA,2017,83
Brazil,BRA,2018,152
Brazil,BRA,2019,199
Brazil,BRA,2020,155
Bulgaria,BGR,2015,1
Bulgaria,BGR,2017,3
Bulgaria,BGR,2018,4
Bulgaria,BGR,2019,3
Bulgaria,BGR,2020,12
Canada,CAN,2015,184
Canada,CAN,2016,335
Canada,CAN,2017,425
Canada,CAN,2018,685
Canada,CAN,2019,756
Canada,CAN,2020,882
Chile,CHL,2015,4
Chile,CHL,2017,1
Chile,CHL,2018,1
Chile,CHL,2019,1
China,CHN,2015,3946
China,CHN,2016,7969
China,CHN,2017,14825
China,CHN,2018,27647
China,CHN,2019,43913
China,CHN,2020,66276
Colombia,COL,2015,2
Colombia,COL,2017,2
Colombia,COL,2019,2
Costa Rica,CRI,2019,1
Costa Rica,CRI,2020,1
Croatia,HRV,2015,2
Croatia,HRV,2018,3
Croatia,HRV,2019,2
Cuba,CUB,2020,1
Czechia,CZE,2017,1
Czechia,CZE,2018,1
Czechia,CZE,2019,1
Czechia,CZE,2020,4
Denmark,DNK,2015,22
Denmark,DNK,2016,15
Denmark,DNK,2017,25
Denmark,DNK,2018,28
Denmark,DNK,2019,22
Denmark,DNK,2020,19
Eurasian Patent Organization (CSET),,2015,2
Eurasian Patent Organization (CSET),,2016,3
Eurasian Patent Organization (CSET),,2017,3
Eurasian Patent Organization (CSET),,2018,13
Eurasian Patent Organization (CSET),,2019,4
Europe,,2015,522
Europe,,2016,832
Europe,,2017,1242
Europe,,2018,1845
Europe,,2019,2013
Europe,,2020,2327
European Patent Organization (CSET),,2015,102
European Patent Organization (CSET),,2016,154
European Patent Organization (CSET),,2017,346
European Patent Organization (CSET),,2018,622
European Patent Organization (CSET),,2019,954
European Patent Organization (CSET),,2020,1124
Finland,FIN,2015,11
Finland,FIN,2016,9
Finland,FIN,2017,26
Finland,FIN,2018,43
Finland,FIN,2019,35
Finland,FIN,2020,38
France,FRA,2015,35
France,FRA,2016,66
France,FRA,2017,97
France,FRA,2018,184
France,FRA,2019,221
France,FRA,2020,283
Germany,DEU,2015,122
Germany,DEU,2016,238
Germany,DEU,2017,410
Germany,DEU,2018,643
Germany,DEU,2019,864
Germany,DEU,2020,1037
Greece,GRC,2015,2
Greece,GRC,2016,4
Greece,GRC,2017,14
Greece,GRC,2018,9
Greece,GRC,2019,3
Greece,GRC,2020,5
Hungary,HUN,2015,9
Hungary,HUN,2016,7
Hungary,HUN,2017,10
Hungary,HUN,2018,6
Hungary,HUN,2019,7
Hungary,HUN,2020,7
India,IND,2015,111
India,IND,2016,156
India,IND,2017,270
India,IND,2018,270
India,IND,2019,10
India,IND,2020,10
Indonesia,IDN,2016,2
International Bureau of WIPO (CSET),,2015,7
International Bureau of WIPO (CSET),,2016,9
International Bureau of WIPO (CSET),,2017,25
International Bureau of WIPO (CSET),,2018,25
International Bureau of WIPO (CSET),,2019,2
Iran,IRN,2018,1
Ireland,IRL,2016,2
Ireland,IRL,2018,2
Israel,ISR,2015,16
Israel,ISR,2016,5
Israel,ISR,2017,21
Israel,ISR,2018,20
Israel,ISR,2019,21
Israel,ISR,2020,23
Italy,ITA,2015,11
Italy,ITA,2016,21
Italy,ITA,2017,29
Italy,ITA,2018,42
Italy,ITA,2019,61
Italy,ITA,2020,65
Japan,JPN,2015,741
Japan,JPN,2016,1357
Japan,JPN,2017,2382
Japan,JPN,2018,3571
Japan,JPN,2019,4236
Japan,JPN,2020,4278
Jordan,JOR,2017,1
Jordan,JOR,2019,1
