Entity,Day,Cost,Domain
AlphaGo Lee,2016-01-27,22206.092,Games
AlphaGo Master,2017-10-19,368139.4,Games
AlphaGo Zero,2017-10-18,637343.9,Games
AlphaStar,2019-10-30,125760.836,Games
Amazon Titan,2023-09-28,7933208,Multimodal
Claude 2,2023-07-11,4902485.5,Language
Claude 3 Opus,2024-03-04,17105504,Multimodal
Claude 3.5 Sonnet,2024-06-20,25870156,Multimodal
DeepSpeech2 (English),2015-12-08,214.33067,Speech
Falcon-180B,2023-09-06,10743153,Language
GLM-4-Plus,2024-08-29,32705566,Language
GLaM,2021-12-13,546370.3,Language
GNMT,2016-09-26,201325.06,Language
GPT-3 175B (davinci),2020-05-28,2277483.8,Language
GPT-3.5,2022-11-28,4805476,Language
GPT-4,2023-03-15,42165332,Multimodal
GPT-4 Turbo,2023-11-06,25385218,Multimodal
GPT-4.5,2025-02-27,187865180,Multimodal
GPT-4o,2024-05-13,37427420,Multimodal
Gemini 1.0 Ultra,2023-12-06,29331936,Multimodal
Gemini 1.5 Pro,2024-02-15,8033799.5,Multimodal
Gopher (280B),2021-12-08,594208.56,Language
Grok-2,2024-08-13,31601292,Multimodal
Grok-3,2025-02-17,305009060,Multimodal
HyperCLOVA 204B,2021-09-10,441755.72,Language
Inception v3,2015-12-02,1218.1416,Vision
Inflection-2,2023-11-22,13460710,Language
JFT,2017-07-10,17910.18,Vision
Jurassic-1-Jumbo,2021-08-11,836673,Language
Llama 3.1-405B,2024-07-23,52883730,Language
Llama 4 Behemoth (preview),2025-04-05,44587524,Multimodal
Meena,2020-01-28,206219.55,Language
Megatron-BERT,2019-09-17,185058.42,Language
Megatron-LM (8.3B),2019-09-17,117601.695,Language
Megatron-Turing NLG 530B,2021-10-11,3848381.2,Language
Mistral Large,2024-02-26,14619664,Language
NASv3 (CIFAR-10),2016-11-05,21183.756,Vision
Nemotron-4 340B,2024-06-14,21270332,Language
OpenAI Five,2019-12-13,4328171.5,Games
PaLM (540B),2022-04-04,2967625.8,Language
PaLM 2,2023-05-10,4804301,Language
ResNeXt-101 32x48d,2018-05-02,144335.34,Vision
RoBERTa Large,2019-07-01,91894.17,Language
Switch,2021-01-11,136881.95,Language
T5-11B,2019-10-23,75487.375,Language
Xception,2016-10-07,13108.429,Vision
Yuan 1.0,2021-10-12,527314.5,Language
mT5-XXL,2020-10-20,239928.83,Language
