Entity,Code,Year,All,All (projected) (Projected)
Africa,OWID_AFR,2016,129836003,
Africa,OWID_AFR,2017,84014852,
Africa,OWID_AFR,2018,126254907,
Africa,OWID_AFR,2019,294651275,
Africa,OWID_AFR,2020,192644360,
Africa,OWID_AFR,2021,226000000,
Africa,OWID_AFR,2022,361101983,
Africa,OWID_AFR,2023,167187485,
Africa,OWID_AFR,2024,295425539,295425539
Africa,OWID_AFR,2025,,168334150
Albania,ALB,2016,2258017,
Albania,ALB,2019,7419277,
Albania,ALB,2020,5234901,
Albania,ALB,2024,4319087,4319087
Algeria,DZA,2021,0,
Algeria,DZA,2022,0,0
Argentina,ARG,2015,0,
Argentina,ARG,2016,1129009,
Argentina,ARG,2017,5527293,
Argentina,ARG,2018,1079102,
Argentina,ARG,2019,2119793,
Argentina,ARG,2020,3140941,
Argentina,ARG,2021,18000000,
Argentina,ARG,2022,14814440,
Argentina,ARG,2023,620728001,
Argentina,ARG,2024,479418637,479418637
Argentina,ARG,2025,,5050025
Armenia,ARM,2020,3140941,
Armenia,ARM,2021,7000000,
Armenia,ARM,2023,2667885,
Armenia,ARM,2024,12093443,12093443
Armenia,ARM,2025,,0
Asia,OWID_ASI,2015,4257467995,
Asia,OWID_ASI,2016,8108540660,
Asia,OWID_ASI,2017,7114731407,
Asia,OWID_ASI,2018,22310429001,
Asia,OWID_ASI,2019,13575156585,
Asia,OWID_ASI,2020,62630356447,
Asia,OWID_ASI,2021,38692000000,
Asia,OWID_ASI,2022,31060325977,
Asia,OWID_ASI,2023,27628621120,
Asia,OWID_ASI,2024,29842298489,29842298489
Asia,OWID_ASI,2025,,22169607613
Australia,AUS,2015,132617156,
Australia,AUS,2016,114029881,
Australia,AUS,2017,47534719,
Australia,AUS,2018,227690473,
Australia,AUS,2019,466354536,
Australia,AUS,2020,538147830,
Australia,AUS,2021,3211000000,
Australia,AUS,2022,999048820,
Australia,AUS,2023,774576059,
Australia,AUS,2024,2184594115,2184594115
Australia,AUS,2025,,828204020
Austria,AUT,2015,2286503,
Austria,AUT,2016,5645044,
Austria,AUT,2017,17687337,
Austria,AUT,2018,38847664,
Austria,AUT,2019,124007911,
Austria,AUT,2020,90040298,
Austria,AUT,2021,294000000,
Austria,AUT,2022,80553519,
Austria,AUT,2023,222323783,
Austria,AUT,2024,714376960,714376960
Austria,AUT,2025,,1471240475
Azerbaijan,AZE,2022,0,0
Bahrain,BHR,2020,0,
Bahrain,BHR,2021,190000000,
Bahrain,BHR,2022,0,0
Bahrain,BHR,2025,,2525012
Bangladesh,BGD,2018,0,
Bangladesh,BGD,2019,0,
Bangladesh,BGD,2020,4187921,
Bangladesh,BGD,2021,3000000,
Bangladesh,BGD,2022,9259025,
Bangladesh,BGD,2023,6225066,
Bangladesh,BGD,2024,3455269,3455269
Bangladesh,BGD,2025,,0
Barbados,BRB,2016,20322157,20322157
Belarus,BLR,2017,8843669,
Belarus,BLR,2020,2093960,
Belarus,BLR,2022,0,0
Belgium,BEL,2015,179490461,
Belgium,BEL,2016,76772593,
Belgium,BEL,2017,323899363,
Belgium,BEL,2018,83090836,
Belgium,BEL,2019,209859541,
Belgium,BEL,2020,392617581,
Belgium,BEL,2021,994000000,
Belgium,BEL,2022,592577614,
Belgium,BEL,2023,404629284,
Belgium,BEL,2024,773116541,773116541
Belgium,BEL,2025,,314784861
Belize,BLZ,2019,10598967,
Belize,BLZ,2022,18518050,18518050
Bosnia and Herzegovina,BIH,2016,0,
Bosnia and Herzegovina,BIH,2020,0,
Bosnia and Herzegovina,BIH,2021,0,
Bosnia and Herzegovina,BIH,2023,0,
Bosnia and Herzegovina,BIH,2024,0,0
Botswana,BWA,2015,1143251,
Botswana,BWA,2016,0,
Botswana,BWA,2021,1000000,
Botswana,BWA,2024,863817,863817
Brazil,BRA,2015,184063466,
Brazil,BRA,2016,15806122,
Brazil,BRA,2017,148131449,
Brazil,BRA,2018,281645561,
Brazil,BRA,2019,443036809,
Brazil,BRA,2020,640751891,
Brazil,BRA,2021,810000000,
Brazil,BRA,2022,1611070387,
Brazil,BRA,2023,907081033,
Brazil,BRA,2024,779163263,779163263
Brazil,BRA,2025,,800428885
Bulgaria,BGR,2015,28581284,
Bulgaria,BGR,2016,0,
Bulgaria,BGR,2017,1105459,
Bulgaria,BGR,2018,14028323,
Bulgaria,BGR,2019,3179690,
Bulgaria,BGR,2021,4000000,
Bulgaria,BGR,2022,925903,
Bulgaria,BGR,2023,9782246,
Bulgaria,BGR,2024,6046722,6046722
Burkina Faso,BFA,2023,0,0
Cambodia,KHM,2018,0,0
Canada,CAN,2015,379559445,
Canada,CAN,2016,1716093261,
Canada,CAN,2017,763871877,
Canada,CAN,2018,1874399767,
Canada,CAN,2019,1849519694,
Canada,CAN,2020,2098148350,
Canada,CAN,2021,3748000000,
Canada,CAN,2022,20957803568,
Canada,CAN,2023,2263256108,
Canada,CAN,2024,4248253798,4248253798
Canada,CAN,2025,,5594585490
Chile,CHL,2015,0,
Chile,CHL,2016,1129009,
Chile,CHL,2017,8843669,
Chile,CHL,2018,89565447,
Chile,CHL,2019,34976590,
Chile,CHL,2020,100510101,
Chile,CHL,2021,276000000,
Chile,CHL,2022,74072202,
Chile,CHL,2023,12450132,
Chile,CHL,2024,63058668,63058668
Chile,CHL,2025,,57233611
China,CHN,2015,1694298488,
China,CHN,2016,5675526858,
China,CHN,2017,4786635642,
China,CHN,2018,9041793693,
China,CHN,2019,6612695342,
China,CHN,2020,14048380522,
China,CHN,2021,18443000000,
China,CHN,2022,13100594773,
China,CHN,2023,9260230196,
China,CHN,2024,13876362142,13876362142
China,CHN,2025,,11123520661
Colombia,COL,2015,0,
Colombia,COL,2016,1129009,
Colombia,COL,2017,3316376,
Colombia,COL,2018,0,
Colombia,COL,2019,10598967,
Colombia,COL,2020,10469802,
Colombia,COL,2021,23000000,
Colombia,COL,2022,50924639,
Colombia,COL,2023,13339427,
Colombia,COL,2024,28505973,28505973
Colombia,COL,2025,,1683342
Costa Rica,CRI,2022,0,
Costa Rica,CRI,2024,0,0
Costa Rica,CRI,2025,,1683342
Cote d'Ivoire,CIV,2022,0,
Cote d'Ivoire,CIV,2023,0,
Cote d'Ivoire,CIV,2024,863817,863817
Croatia,HRV,2019,0,
Croatia,HRV,2020,1046980,
Croatia,HRV,2021,308000000,
Croatia,HRV,2022,333324908,
Croatia,HRV,2023,174301846,
Croatia,HRV,2024,93292275,93292275
Croatia,HRV,2025,,3366683
Cyprus,CYP,2015,2286503,
Cyprus,CYP,2016,1129009,
Cyprus,CYP,2017,2210917,
Cyprus,CYP,2018,3237305,
Cyprus,CYP,2019,3179690,
Cyprus,CYP,2020,31409406,
Cyprus,CYP,2021,26000000,
Cyprus,CYP,2022,5555415,
Cyprus,CYP,2023,1778590,
Cyprus,CYP,2024,3455269,3455269
Cyprus,CYP,2025,,58075282
Czechia,CZE,2015,2286503,
Czechia,CZE,2016,4516035,
